,x,y,Category
0,9.731072,-6.6777296,Short Skirt
1,18.114798,-3.576326,Short Skirt
2,11.570949,-9.971787,Short Skirt
3,12.915526,-15.30006,Short Skirt
4,14.036375,-2.3231027,Short Skirt
5,9.883474,-4.2550426,Short Skirt
6,14.236753,-13.165866,Short Skirt
7,14.832459,-14.116144,Short Skirt
8,14.100344,-12.706402,Short Skirt
9,16.454262,-6.9644876,Short Skirt
10,9.109681,-4.76347,Short Skirt
11,13.085969,-6.4553657,Short Skirt
12,15.815956,-6.521428,Short Skirt
13,9.261693,-7.3976264,Short Skirt
14,16.500017,-3.1612675,Short Skirt
15,13.506629,-14.041532,Short Skirt
16,4.723845,-11.582674,Short Skirt
17,16.633038,-3.166199,Short Skirt
18,12.353477,-11.034141,Short Skirt
19,18.223507,-9.506669,Short Skirt
20,16.417768,-10.655224,Short Skirt
21,20.234125,-10.688416,Short Skirt
22,8.867842,-8.429001,Short Skirt
23,6.723511,-10.773395,Short Skirt
24,10.328525,-12.002694,Short Skirt
25,9.157858,-12.851906,Short Skirt
26,11.566632,-13.399378,Short Skirt
27,11.633548,-3.2495134,Short Skirt
28,11.534396,-9.248008,Short Skirt
29,12.58178,-7.4358096,Short Skirt
30,13.019913,-9.219881,Short Skirt
31,13.836194,-6.9778733,Short Skirt
32,11.501793,-12.585853,Short Skirt
33,12.244869,-12.427067,Short Skirt
34,14.787611,-11.070805,Short Skirt
35,11.222081,-14.408208,Short Skirt
36,15.336505,-8.758395,Short Skirt
37,13.390233,-15.77444,Short Skirt
38,11.877284,-3.0418942,Short Skirt
39,7.864597,0.09095836,Short Skirt
40,11.1582365,-11.972071,Short Skirt
41,14.994577,-8.136281,Short Skirt
42,10.19535,-11.52894,Short Skirt
43,8.891427,-9.58832,Short Skirt
44,11.83646,-10.567488,Short Skirt
45,10.457828,-10.64288,Short Skirt
46,16.283735,-2.6852872,Short Skirt
47,19.371815,-10.4844675,Short Skirt
48,13.142316,-13.68074,Short Skirt
49,6.7108603,-13.88908,Short Skirt
50,12.140423,-5.387679,Short Skirt
51,11.996662,-14.722118,Short Skirt
52,13.317009,-12.714342,Short Skirt
53,9.682962,-13.758051,Short Skirt
54,12.815478,-10.536143,Short Skirt
55,12.557284,-13.48206,Short Skirt
56,5.125611,-13.805622,Short Skirt
57,11.291044,-8.260778,Short Skirt
58,12.280951,-16.507416,Short Skirt
59,18.657112,-10.576109,Short Skirt
60,10.965022,-8.973792,Short Skirt
61,8.309714,-11.721736,Short Skirt
62,13.547128,-12.03413,Short Skirt
63,14.429685,-10.370545,Short Skirt
64,14.726533,-15.240793,Short Skirt
65,17.079329,-3.6285126,Short Skirt
66,16.353123,-4.233526,Short Skirt
67,14.378712,-2.3583171,Short Skirt
68,6.137485,-14.282259,Short Skirt
69,11.3719015,-16.155178,Short Skirt
70,6.1694736,-9.787726,Short Skirt
71,10.841411,-12.9333105,Short Skirt
72,9.691531,-15.272415,Short Skirt
73,9.026041,-12.449908,Short Skirt
74,16.527126,-6.8709173,Short Skirt
75,1.56282,-4.3783574,Midi Skirt
76,-4.872366,14.996627,Midi Skirt
77,-1.5861204,5.235099,Midi Skirt
78,1.2909815,-1.2954471,Midi Skirt
79,0.21423516,-4.8157225,Midi Skirt
80,1.4918376,-6.222082,Midi Skirt
81,3.9494603,-0.10427925,Midi Skirt
82,3.6768503,-1.3759061,Midi Skirt
83,-0.74004877,5.4660573,Midi Skirt
84,2.372471,0.80376285,Midi Skirt
85,4.933676,1.8476098,Midi Skirt
86,-4.741607,14.539544,Midi Skirt
87,-12.363253,14.682093,Midi Skirt
88,4.5787215,0.5578065,Midi Skirt
89,-10.798926,14.692745,Midi Skirt
90,-11.802737,1.5782601,Long Skirt
91,-5.0047603,15.776786,Midi Skirt
92,-5.1537704,13.174216,Midi Skirt
93,-1.1038619,-1.0598925,Midi Skirt
94,1.9858364,-7.130662,Midi Skirt
95,5.6359344,-0.6352919,Midi Skirt
96,-7.3314304,14.409073,Midi Skirt
97,2.45789,-4.5832086,Midi Skirt
98,3.2111392,-0.7468807,Midi Skirt
99,5.141329,-1.2823415,Midi Skirt
100,2.4965808,-0.8152632,Midi Skirt
101,-11.420962,14.586033,Midi Skirt
102,0.25221202,-3.9070764,Midi Skirt
103,-0.097258866,-4.923916,Midi Skirt
104,-7.209188,14.043155,Midi Skirt
105,0.6094677,-8.839394,Midi Skirt
106,-1.0919377,-1.1444012,Midi Skirt
107,-6.0064588,15.506646,Midi Skirt
108,-4.314995,-4.5097866,Midi Skirt
109,1.2567455,2.8194478,Midi Skirt
110,0.34918126,-2.658564,Midi Skirt
111,0.1724916,-7.507131,Midi Skirt
112,-15.533025,2.09415,Midi Skirt
113,3.4332259,-5.0580826,Midi Skirt
114,-18.234303,3.6272552,Midi Skirt
115,-4.5026293,14.96654,Midi Skirt
116,-0.5439495,-3.9950826,Midi Skirt
117,1.9785125,1.6391681,Midi Skirt
118,-8.01462,16.396889,Midi Skirt
119,-3.6960204,14.397169,Midi Skirt
120,-1.2806661,-6.407018,Midi Skirt
121,-10.611496,-4.075881,Midi Skirt
122,-5.543162,-2.0162973,Midi Skirt
123,1.6984189,2.9726853,Midi Skirt
124,1.2803323,-2.884188,Midi Skirt
125,-4.433107,11.208738,Midi Skirt
126,1.723239,-0.7748812,Midi Skirt
127,3.3874035,-7.461976,Midi Skirt
128,1.2494643,-5.1144934,Midi Skirt
129,-0.7736567,0.85639495,Midi Skirt
130,5.5019245,0.104163,Midi Skirt
131,-1.9325691,-4.7040243,Midi Skirt
132,-2.2893372,-0.29618716,Midi Skirt
133,-2.370317,-3.0937507,Long Skirt
134,2.3216224,-5.5888867,Midi Skirt
135,-7.4201,-3.0374248,Midi Skirt
136,-15.643473,1.7747955,Midi Skirt
137,-9.647762,15.734284,Midi Skirt
138,5.8054714,-1.5992832,Midi Skirt
139,0.7034816,-6.5695176,Midi Skirt
140,4.975691,-2.1683557,Midi Skirt
141,2.5025363,-3.8603003,Midi Skirt
142,3.6945195,-7.91369,Midi Skirt
143,4.1527143,-2.7911236,Midi Skirt
144,-12.667677,11.960879,Midi Skirt
145,1.7438921,1.041812,Midi Skirt
146,2.9426441,-7.335671,Midi Skirt
147,7.46896,-1.0000883,Midi Skirt
148,-4.88049,13.742134,Midi Skirt
149,0.6861427,-0.7592874,Midi Skirt
150,-7.486808,10.269816,Long Skirt
151,-7.2288284,4.899923,Long Skirt
152,-15.101378,3.427493,Long Skirt
153,-7.2797003,0.2862819,Long Skirt
154,-12.401872,4.4309993,Long Skirt
155,-9.9170475,10.441819,Long Skirt
156,-17.184319,2.6543982,Long Skirt
157,-7.0487003,1.7071338,Long Skirt
158,-9.114664,12.2172985,Long Skirt
159,-7.429446,10.074997,Long Skirt
160,-13.502958,6.7809258,Long Skirt
161,-9.220712,12.061296,Long Skirt
162,-8.686619,1.7877907,Long Skirt
163,-8.786627,4.6252613,Long Skirt
164,-8.057854,3.789531,Long Skirt
165,-14.7840185,7.104374,Long Skirt
166,-6.9540434,2.2445087,Long Skirt
167,-6.3536644,1.6969609,Long Skirt
168,-7.008644,3.3644004,Long Skirt
169,-2.821259,2.0003543,Long Skirt
170,-11.804617,10.648098,Long Skirt
171,-3.634942,0.23740497,Long Skirt
172,-6.097986,0.4027862,Long Skirt
173,-16.098188,3.399409,Long Skirt
174,-13.208172,10.134532,Long Skirt
175,-11.801921,1.5781081,Long Skirt
176,-8.427789,4.261424,Long Skirt
177,-5.8883963,8.10017,Long Skirt
178,-11.133307,4.0772853,Long Skirt
179,-5.4844527,1.6687071,Long Skirt
180,-11.5604925,11.35141,Long Skirt
181,-13.216326,2.6861758,Long Skirt
182,-7.7038403,2.5954912,Long Skirt
183,-6.5334277,5.1103406,Long Skirt
184,-14.345552,6.9346037,Long Skirt
185,-7.7583823,13.583935,Long Skirt
186,-8.992201,-0.38213167,Long Skirt
187,-4.7980123,4.4152493,Long Skirt
188,-5.7994175,3.1584272,Long Skirt
189,-13.8854265,1.2509996,Long Skirt
190,-6.2984014,11.496375,Long Skirt
191,-11.144497,13.084984,Long Skirt
192,-3.4818323,-1.8615625,Long Skirt
193,-7.5485806,1.41581,Long Skirt
194,-1.4754466,-3.6978362,Long Skirt
195,-7.9374,11.364464,Long Skirt
196,-8.361503,2.1441696,Long Skirt
197,-13.719901,8.857749,Long Skirt
198,-9.180294,15.002401,Long Skirt
199,-5.1322637,10.627503,Long Skirt
200,-9.8727,13.005935,Long Skirt
201,-7.442793,13.11157,Long Skirt
202,-9.80776,11.9457245,Long Skirt
203,-10.599536,11.630542,Long Skirt
204,-9.396894,13.4319725,Long Skirt
205,-11.076631,3.8614671,Long Skirt
206,-10.627693,-3.980306,Long Skirt
207,-12.011795,9.141751,Long Skirt
208,-17.704649,3.8346725,Long Skirt
209,-6.103835,2.337846,Long Skirt
210,-7.4371843,5.519689,Long Skirt
211,-9.614144,5.1579585,Long Skirt
212,-2.3702028,-3.0936558,Long Skirt
213,-6.0781946,8.123384,Long Skirt
214,-12.818332,5.0284376,Long Skirt
215,-8.853877,0.9687402,Long Skirt
216,-7.822114,-0.41576424,Long Skirt
217,-16.953157,3.303128,Long Skirt
218,-3.8415725,9.072427,Long Skirt
219,-5.012538,2.7922685,Long Skirt
220,-3.50646,-0.11556801,Long Skirt
221,-4.8739715,0.4365729,Long Skirt
222,-13.249024,1.9162967,Long Skirt
